TITLE,LINK,DATE_SCRAPE,CITY,CEP,NEIGHBORHOOD,CONDO,TAX,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,APARTMENT_DETAILS,PRICE,REGION
Apartamento em  Rua da Batalha dos Palmares - São Gabriel - Belo Horizonte/MG,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-em-rua-da-batalha-dos-palmares-sao-gabriel-belo-horizonte-mg-1183398880,2023-08-06,Belo Horizonte,31985160,Dom Silvério,R$ 180,R$ 800,55m²,2,1,1,N/A,164660,zona_nordeste
Linda Cobertura 3 quartos suite e 3 vagas Fernão Dias,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/linda-cobertura-3-quartos-suite-e-3-vagas-fernao-dias-1183398669,2023-08-06,Belo Horizonte,31910532,Fernão Dias,R$ 0,R$ 0,158m²,3,2,3,N/A,780000,zona_nordeste
"Apartamento à Venda - Silveira, 4 Quartos,  210 m2",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-silveira-4-quartos-210-m2-1183361542,2023-08-06,Belo Horizonte,31140540,Silveira,R$ 450,R$ 166,210m²,4,4,2,"Ar condicionado, Varanda",850000,zona_nordeste
BELO HORIZONTE - Apartamento Padrão - Palmares,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-palmares-1183361167,2023-08-06,Belo Horizonte,31155650,Palmares,R$ 450,R$ 250,92m²,3,3,2,Área de serviço,580000,zona_nordeste
Área Privativa / Garden com 3 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/area-privativa-garden-com-3-dormitorios-a-venda-em-belo-horizonte-1183355445,2023-08-06,Belo Horizonte,31920350,Fernão Dias,R$ 10,R$ 10,150m²,3,3,3,N/A,789000,zona_nordeste
Apartamento com 2 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-em-belo-horizonte-1183355424,2023-08-06,Belo Horizonte,31110365,Colégio Batista,R$ 300,R$ 100,49m²,2,1,1,Churrasqueira,285000,zona_nordeste
BELO HORIZONTE - Apartamento Padrão - Silveira,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-silveira-1183283267,2023-08-06,Belo Horizonte,31140540,Silveira,R$ 400,R$ 196,207m²,4,4,2,"Ar condicionado, Área de serviço, Churrasqueira",850000,zona_nordeste
Venda Residential / Apartment Belo Horizonte MG,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-residential-apartment-belo-horizonte-mg-1183258307,2023-08-06,Belo Horizonte,31130550,Renascença,R$ 300,R$ 0,120m²,3,2,2,Churrasqueira,720000,zona_nordeste
Venda Residential / Apartment Belo Horizonte MG,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-residential-apartment-belo-horizonte-mg-1183257333,2023-08-06,Belo Horizonte,31130550,Renascença,R$ 300,R$ 0,120m²,3,2,2,Churrasqueira,720000,zona_nordeste
Venda Apartamento 4 quartos Cidade Nova Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-4-quartos-cidade-nova-belo-horizonte-1183254605,2023-08-06,Belo Horizonte,31170220,Cidade Nova,R$ 1.400,R$ 0,139m²,4,3,3,"Academia, Churrasqueira, Piscina",2100000,zona_nordeste
