,CONDO,TAX,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,DETAIL_Academia,DETAIL_Ar condicionado,DETAIL_Armários na cozinha,DETAIL_Armários no quarto,DETAIL_Churrasqueira,DETAIL_Mobiliado,DETAIL_Piscina,DETAIL_Quarto de serviço,DETAIL_Varanda,DETAIL_Área de serviço,PRICE,REGION_pampulha,REGION_venda_nova,REGION_zona_centro_sul,REGION_zona_leste,REGION_zona_nordeste,REGION_zona_noroeste,REGION_zona_norte,REGION_zona_oeste
163,350,70,48,2,1,1,0,0,0,0,0,0,0,0,0,0,180000.0,False,False,False,False,False,False,False,False
164,408,130,75,3,2,1,0,0,0,0,0,0,0,0,0,0,380000.0,False,False,False,False,False,False,False,False
165,0,0,96,2,1,1,0,0,0,0,0,0,0,0,0,0,350000.0,False,False,False,False,False,False,False,False
166,1,1,83,3,1,2,0,0,0,0,0,0,0,0,1,0,550000.0,False,False,False,False,False,False,False,False
167,0,0,150,3,4,2,0,0,0,0,1,0,0,0,0,0,569900.0,False,False,False,False,False,False,False,False
168,0,0,63,3,1,1,0,0,0,0,1,0,0,0,0,0,245000.0,False,False,False,False,False,False,False,False
169,0,0,110,3,1,2,0,0,0,0,0,0,0,0,0,0,580000.0,False,False,False,False,False,False,False,False
170,0,0,110,3,1,3,0,0,0,0,0,0,0,0,0,0,960000.0,False,False,False,False,False,False,False,False
171,0,0,130,3,1,3,0,0,0,0,0,0,0,0,0,1,980000.0,False,False,False,False,False,False,False,False
172,0,0,167,3,1,2,0,0,0,0,0,0,0,0,0,0,739000.0,False,False,False,False,False,False,False,False
173,0,0,85,3,1,2,0,0,0,0,0,0,0,0,0,0,539000.0,False,False,False,False,False,False,False,False
174,0,0,44,2,1,1,0,0,0,0,0,0,0,0,0,0,261569.0,False,False,False,False,False,False,False,False
175,0,0,80,3,2,2,0,0,0,0,0,0,0,0,0,0,450000.0,False,False,False,False,False,False,False,False
176,0,0,130,3,2,2,0,0,0,0,0,0,0,0,0,0,630000.0,False,False,False,False,False,False,False,False
177,0,0,105,3,2,2,0,0,0,0,0,0,0,0,0,0,560000.0,False,False,False,False,False,False,False,False
178,0,0,208,3,3,2,0,0,0,0,0,0,1,0,1,1,1600000.0,False,False,False,False,False,False,False,False
179,200,1,60,3,1,1,0,0,0,0,0,0,0,0,0,1,240000.0,False,False,False,False,False,False,False,False
180,215,373,48,2,1,1,0,0,0,0,1,0,0,0,0,1,170000.0,False,False,False,False,False,False,False,False
181,130,1,68,3,1,1,0,0,0,0,0,0,0,0,0,1,235000.0,False,False,False,False,False,False,False,False
182,400,274,92,3,1,3,0,0,0,0,0,0,0,0,0,0,700000.0,False,False,False,False,False,False,False,False
183,250,2,180,3,3,2,0,0,0,0,1,0,0,0,0,1,650000.0,False,False,False,False,False,False,False,False
184,30,0,44,2,1,1,0,0,0,0,0,0,0,0,0,1,130000.0,False,False,False,False,False,False,False,False
185,1,1,68,2,2,1,0,0,0,0,0,0,0,0,0,1,425000.0,False,False,False,False,False,False,False,False
186,0,0,166,3,2,2,0,0,0,0,0,0,0,0,0,0,850000.0,False,False,False,False,False,False,False,False
187,250,46,88,2,1,1,0,0,0,0,0,0,0,0,0,0,295000.0,False,False,False,False,False,False,False,False
188,200,0,70,3,1,1,0,1,0,0,0,0,0,0,0,0,280000.0,False,False,False,False,False,False,False,False
189,250,42,88,2,1,1,0,0,0,0,0,0,0,0,0,0,300000.0,False,False,False,False,False,False,False,False
190,0,0,108,2,2,2,0,0,0,0,0,0,0,0,0,0,350000.0,False,False,False,False,False,False,False,False
191,214,133,82,3,1,2,0,0,0,0,0,0,0,0,0,0,350000.0,False,False,False,False,False,False,False,False
192,0,0,82,3,2,1,0,0,0,0,0,0,0,0,0,0,450000.0,False,False,False,False,False,False,False,False
193,0,0,48,2,2,2,0,0,0,0,0,0,0,0,0,0,244125.0,False,False,False,False,False,False,False,False
194,250,0,68,3,1,1,0,0,0,0,0,0,0,0,0,0,180000.0,False,False,False,False,False,False,False,False
195,350,0,55,2,1,1,0,0,0,0,0,0,0,0,0,0,155000.0,False,False,False,False,False,False,False,False
196,350,36,72,2,1,1,0,0,1,0,0,0,0,0,0,1,240000.0,False,False,False,False,False,False,False,False
197,200,30,45,1,1,1,0,0,1,0,1,0,0,0,0,1,150000.0,False,False,False,False,False,False,False,False
198,180,1,88,3,1,1,0,0,0,0,0,0,0,0,0,1,260.0,False,False,False,False,False,False,False,False
199,250,1,92,2,1,1,0,0,1,1,1,0,0,0,1,1,258000.0,False,False,False,False,False,False,False,False
200,250,700,44,2,1,1,0,0,0,0,1,0,0,0,0,0,188000.0,False,False,False,False,False,False,False,False
201,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,90000.0,False,False,False,False,False,False,False,False
202,300,250,205,3,3,3,0,0,0,0,0,0,1,0,0,0,930000.0,False,False,False,False,False,False,False,False
203,0,3,180,3,3,4,0,0,0,0,0,0,0,0,1,0,950000.0,False,False,False,False,False,False,False,False
204,0,0,90,2,1,1,0,0,0,0,0,0,0,0,0,0,350000.0,False,False,False,False,False,False,False,False
205,0,0,78,2,1,1,0,0,0,0,0,0,0,0,0,0,290000.0,False,False,False,False,False,False,False,False
206,265,250,50,2,1,1,0,0,0,0,0,0,0,0,0,1,180000.0,False,False,False,False,False,False,False,False
207,200,1,115,3,2,2,0,0,0,0,1,0,0,0,1,1,595000.0,False,False,False,False,False,False,False,False
208,230,847,55,2,1,1,0,0,0,0,0,0,1,0,0,1,245000.0,False,False,False,False,False,False,False,False
209,350,1,60,3,1,1,0,0,0,0,0,0,0,0,0,1,235000.0,False,False,False,False,False,False,False,False
210,450,120,70,3,2,1,0,0,0,0,0,0,0,0,0,1,300000.0,False,False,False,False,False,False,False,False
211,320,36,60,2,1,1,0,0,1,0,1,0,0,0,0,0,235000.0,False,False,False,False,False,False,False,False
212,282,0,65,3,1,1,0,0,0,0,0,0,0,0,0,0,200000.0,False,False,False,False,False,False,False,False
213,300,0,150,3,4,2,0,0,0,0,0,0,0,0,0,1,580000.0,False,False,False,False,False,False,False,False
214,300,0,75,3,2,2,0,0,0,0,0,0,0,0,0,1,370000.0,False,False,False,False,False,False,False,False
215,1,1,110,3,2,3,0,0,0,0,0,0,0,0,0,0,947000.0,False,False,False,False,False,False,False,False
216,0,36,80,3,1,1,0,0,1,0,1,0,0,0,0,1,360000.0,False,False,False,False,False,False,False,False
217,0,0,51,2,1,1,0,0,0,0,0,0,0,0,0,0,330000.0,False,False,False,False,False,False,False,False
218,230,0,55,2,1,1,0,0,1,0,0,0,0,0,0,1,245000.0,False,False,False,False,False,False,False,False
219,230,77,45,2,1,1,0,0,0,0,0,0,0,0,0,0,245000.0,False,False,False,False,False,False,False,False
220,230,840,55,2,1,1,0,0,1,0,0,0,0,0,0,1,245000.0,False,False,False,False,False,False,False,False
221,0,1,127,3,1,3,0,0,1,0,0,0,0,0,0,1,550000.0,False,False,False,False,False,False,False,False
222,275,0,66,3,1,1,0,0,0,0,0,0,0,0,0,1,220000.0,False,False,False,False,False,False,False,False
223,0,0,78,3,1,2,0,0,0,0,0,0,0,0,0,1,495000.0,False,False,False,False,False,False,False,False
224,0,0,90,2,1,2,0,0,0,0,0,0,0,0,1,1,490000.0,False,False,False,False,False,False,False,False
