,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,DETAIL_Academia,DETAIL_Ar condicionado,DETAIL_Armários na cozinha,DETAIL_Armários no quarto,DETAIL_Churrasqueira,DETAIL_Mobiliado,DETAIL_Piscina,DETAIL_Varanda,DETAIL_Área de serviço,REGION_pampulha,REGION_venda_nova,REGION_zona_centro_sul,REGION_zona_leste,REGION_zona_nordeste,REGION_zona_noroeste,REGION_zona_norte,REGION_zona_oeste,UTILS,PRICE
172,167,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739000.0
173,85,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539000.0
174,44,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261569.0
175,80,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450000.0
176,130,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630000.0
177,105,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560000.0
178,208,3,3,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1600000.0
179,60,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,201,240000.0
180,48,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,588,170000.0
181,68,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,131,235000.0
182,92,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,700000.0
183,180,3,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,252,650000.0
184,44,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,130000.0
185,68,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,425000.0
186,166,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850000.0
187,88,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,295000.0
188,70,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,280000.0
189,88,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,300000.0
190,108,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350000.0
191,82,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,350000.0
192,82,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450000.0
193,48,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244125.0
194,68,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,180000.0
195,55,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,155000.0
196,72,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,386,240000.0
197,45,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,230,150000.0
